id,mean_NNMF1,mean_NNMF2,mean_NNMF3,mean_NNMF4,mean_NNMF5,mean_NNMF6,mean_NNMF7,mean_NNMF8,mean_NNMF9,mean_NNMF10,mean_NNMF11,mean_NNMF12,mean_NNMF13,mean_NNMF14,mean_NNMF15
1975,-0.082234,0.158325,0.018033,-0.147604,0.008585,-0.085849,-0.03772,-0.050675,-0.170279,-0.141758,0.014999,-0.056852,-0.175976,-0.009236,-0.086945
2035,-0.133264,0.113506,-0.177679,-0.011612,-0.293965,-0.180881,-0.212568,-0.067702,-0.234197,-0.234878,-0.200374,-0.21062,-0.226791,-0.046662,-0.173724
2047,-0.051036,0.035771,0.030221,-0.161382,-0.058436,0.013456,-0.073117,-0.05454,-0.14692,-0.079831,0.015739,-0.145904,-0.178639,-0.06856,-0.008248
2059,-0.06685,0.092572,-0.070845,-0.155204,-0.061713,-0.049501,-0.123161,0.011522,-0.157566,-0.1364,0.002236,-0.072812,-0.162358,-0.018843,-0.053809
2061,-0.104104,0.071385,-0.134881,-0.051043,-0.159202,-0.092449,-0.112903,0.010313,-0.157371,-0.23249,-0.102581,-0.030108,-0.203081,-0.096296,-0.072124
2086,-0.058063,-0.049672,0.057322,-0.160859,-0.00208,-0.091107,-0.030803,-0.127135,-0.145336,-0.033235,-0.049227,-0.251516,-0.121196,0.038626,-0.062971
2094,-0.01517,0.134649,0.202519,-0.062622,-0.066445,-0.000927,0.133687,0.014431,-0.083278,-0.087193,-0.002558,0.039272,-0.105594,-0.032172,-0.02913
2106,-0.099299,-0.018905,0.057914,-0.054695,-0.085613,-0.018157,-0.153838,-0.026351,-0.052867,-0.190482,-0.10798,-0.137258,-0.129148,-0.037736,-0.10657
2131,-0.096814,-0.043675,-0.018352,-0.059274,-0.124204,0.060985,-0.090198,0.003376,-0.035178,-0.108831,-0.086837,-0.137213,-0.133517,-0.087426,-0.105795
2158,-0.113292,0.259343,-0.042191,-0.098296,-0.154292,-0.054785,-0.092949,-0.063206,-0.105038,-0.147252,-0.014797,-0.182137,-0.2414,-0.131394,-0.188007
2215,-0.131916,0.015311,-0.197262,-0.151554,-0.201626,-0.128736,-0.077878,-0.305913,-0.236484,-0.328326,-0.301142,-0.185431,-0.203751,-0.179451,-0.078981
2233,-0.127676,0.04164,-0.007404,-0.184062,-0.19713,-0.123304,-0.127326,-0.168669,-0.218928,-0.334002,-0.193965,-0.05633,-0.205225,-0.158533,-0.145114
2246,-0.111783,0.059477,0.065471,-0.09143,-0.13333,-0.06125,-0.108851,-0.163981,-0.089261,-0.125225,-0.117259,-0.165237,-0.192965,-0.077231,-0.069989
2254,-0.091351,0.21925,-0.047841,-0.197471,-0.077033,-0.024503,-0.169377,-0.116695,-0.153251,-0.142986,-0.143347,-0.161142,-0.139225,-0.052505,-0.041665
2268,-0.116759,-0.076875,-0.118282,-0.085269,-0.160625,-0.162439,-0.222624,-0.181371,-0.225249,-0.114011,-0.258889,-0.230413,-0.14716,-0.124274,-0.135653
2270,-0.037807,0.208304,-0.082432,-0.016171,-0.061089,-0.07664,-0.035267,-0.003318,-0.096572,-0.20126,-0.140608,-0.020855,-0.128996,-0.130264,-0.006272
2287,-0.116753,0.102146,-0.159266,-0.04274,-0.224776,0.011598,-0.126875,-0.102121,-0.123337,-0.184578,-0.153067,-0.041395,-0.260527,-0.157474,-0.066809
2308,-0.140992,0.101607,0.027172,-0.166675,-0.072931,-0.030573,-0.313453,-0.166906,-0.095193,-0.111124,-0.206621,-0.158006,-0.151535,-0.108698,-0.04233
2314,-0.068792,-0.07003,-0.03071,-0.285114,-0.137199,-0.041354,0.026115,-0.118271,-0.251659,-0.095062,-0.05471,-0.046776,-0.088543,-0.076303,-0.19573
2320,-0.079166,-0.004538,-0.024389,-0.15381,-0.155318,-0.087988,-0.051638,-0.114138,-0.250952,-0.136964,-0.062813,-0.045621,-0.137576,-0.061139,-0.141269
2352,-0.092509,0.069484,-0.026434,-0.030894,-0.058518,0.017919,-0.130946,-0.044316,0.005102,-0.051984,-0.066844,-0.182899,-0.076592,-0.039341,-0.094843
2366,-0.114611,0.11514,0.045454,-0.037687,-0.215714,0.019041,-0.188757,-0.038964,-0.201002,-0.188625,-0.175037,-0.038824,-0.243801,0.007042,-0.144615
2393,-0.129629,0.038162,-0.061316,-0.259137,-0.265958,-0.111386,-0.144123,-0.218532,-0.272171,-0.311366,-0.002801,-0.181298,-0.227426,-0.166581,-0.08036
2450,-0.098831,0.036609,-0.096963,-0.068182,-0.07597,-0.192899,-0.105131,-0.119505,-0.116243,-0.075623,-0.196007,-0.164546,-0.041761,-0.098427,-0.094427
2474,-0.106526,0.049781,0.059601,-0.204988,-0.072654,0.019056,-0.186488,-0.142111,-0.071071,-0.191947,-0.122474,-0.048645,-0.215078,-0.153349,-0.013856
2488,-0.086347,0.078659,-0.051796,-0.210802,-0.235768,-0.014659,-0.11595,0.005662,-0.290548,-0.202,-0.067925,-0.069463,-0.209093,-0.038777,-0.119686
